churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls
No,13.0,1,1,0.0,167.4,117.0,28.46,223.5,102.0,19.0,215.8,108.0,9.71,9.0,3.0,2.43,1.0
No,184.0,1,1,0.0,167.2,133.0,28.42,162.1,123.0,13.78,156.9,81.0,7.06,9.5,4.0,2.57,1.0
No,138.0,1,1,0.0,63.7,114.0,10.83,212.2,132.0,18.04,247.6,114.0,11.14,8.8,4.0,2.38,0.0
No,129.0,1,0,36.0,192.8,103.0,32.78,177.0,83.0,15.05,216.5,118.0,9.74,16.4,5.0,4.43,1.0
No,49.0,1,1,0.0,171.5,86.0,29.16,188.8,85.0,16.05,155.1,82.0,6.98,8.5,2.0,2.3,2.0
No,104.0,1,1,0.0,142.6,88.0,24.24,85.4,96.0,7.26,246.4,80.0,11.09,14.0,4.0,3.78,1.0
No,60.0,1,1,0.0,207.8,109.0,35.33,123.5,112.0,10.5,291.6,115.0,13.12,5.7,9.0,1.54,0.0
No,39.0,1,1,0.0,157.2,81.0,26.72,247.7,131.0,21.05,215.7,141.0,9.71,9.9,9.0,2.67,1.0
No,79.0,1,1,0.0,161.6,94.0,27.47,187.5,110.0,15.94,220.8,71.0,9.94,10.3,7.0,2.78,2.0
No,44.0,1,0,34.0,221.8,105.0,37.71,161.7,85.0,13.74,227.7,62.0,10.25,14.0,7.0,3.78,0.0
No,57.0,1,1,0.0,202.0,100.0,34.34,168.9,90.0,14.36,231.8,119.0,10.43,3.4,4.0,0.92,1.0
No,99.0,1,1,0.0,54.8,92.0,9.32,200.67979797979797,103.0,14.71,195.1,125.0,8.78,7.5,3.0,2.03,1.0
No,96.0,1,0,40.0,108.6,90.0,18.46,206.4,154.0,17.54,126.3,118.0,5.68,13.4,4.0,3.62,0.0
No,84.0,1,0,12.0,89.7,87.0,15.25,138.6,73.0,11.78,165.8,114.0,7.46,10.7,2.0,2.89,1.0
No,91.0,1,0,39.0,169.8,105.0,28.87,65.2,116.0,5.54,144.4,92.0,6.5,10.9,4.0,2.94,1.0
No,100.0,1,1,0.0,160.3,138.0,27.25,221.3,92.0,18.81,150.4,120.0,6.77,11.2,2.0,3.02,0.0
No,74.0,1,1,0.0,154.3,71.0,26.23,262.3,105.0,22.3,235.3,99.0,10.59,13.9,4.0,3.75,0.0
No,109.0,1,1,0.0,168.0,103.0,28.56,190.8,100.0,16.22,196.9,65.0,8.86,7.1,4.0,1.92,1.569090909090909
No,91.0,1,1,0.0,203.1,106.0,34.53,210.1,113.0,17.86,195.6,129.0,8.8,12.0,3.0,3.24,3.0
No,76.0,1,1,0.0,179.1,110.0,30.45,157.2,81.0,13.36,240.0,109.0,10.8,6.5,3.0,1.76,0.0
No,53.0,1,1,0.0,119.7,113.0,20.35,189.7,84.0,16.12,256.2,108.0,11.53,12.9,7.0,3.48,2.0
No,109.0,1,0,35.0,230.5,116.0,39.19,265.8,130.0,22.59,269.7,69.0,12.14,10.6,6.0,2.86,5.0
No,86.0,1,0,25.0,126.4,97.0,21.49,189.7,118.0,16.12,233.6,97.0,10.51,12.0,2.0,3.24,1.0
No,171.0,1,1,0.0,189.8,122.0,32.27,173.7,85.0,14.76,257.1,84.0,11.57,10.3,1.0,2.78,0.0
No,83.0,1,1,0.0,210.11959453532185,106.0,44.15,152.7,116.0,12.98,224.7,92.0,10.11,10.2,2.0,2.75,0.0
No,85.0,1,1,0.0,187.0,95.0,31.79,163.6,136.0,13.91,200.46569696969695,105.0,9.55,7.9,2.0,2.13,2.0
No,105.0,1,0,21.0,147.0,112.0,24.99,197.3,43.0,16.77,267.4,93.0,12.03,8.7,3.0,2.35,2.0
No,100.0,1,0,33.0,218.7,104.0,37.18,155.0,144.0,13.18,99.0,117.0,4.46,12.1,4.0,3.27,1.0
No,123.0,1,0,33.0,146.6,87.0,24.92,114.8,59.0,9.76,220.4,99.0,9.92,2.9,7.0,0.78,0.0
No,137.0,1,1,0.0,79.5,121.0,13.52,164.1,86.0,13.95,121.8,108.0,5.48,11.7,7.0,3.16,2.0
No,41.0,1,1,0.0,237.8,92.0,40.43,223.5,155.0,19.0,217.4,90.0,9.78,10.2,6.0,2.75,2.0
No,62.0,1,1,0.0,98.9,103.0,16.81,135.4,122.0,11.51,236.6,82.0,10.65,12.2,1.0,3.29,1.0
No,107.0,1,1,0.0,257.7,98.0,43.81,156.5,84.0,13.3,104.4,123.0,4.7,9.8,3.0,2.65,1.0
No,189.0,1,1,0.0,227.8,124.0,38.73,169.5,112.0,14.41,201.1,91.0,9.05,5.6,4.0,1.51,3.0
No,97.0,1,1,0.0,245.2,109.0,41.68,165.5,152.0,14.07,159.2,96.0,7.16,9.1,8.0,2.46,1.0
No,74.0,1,1,0.0,156.3,102.0,26.57,273.1,118.0,23.21,215.8,113.0,9.71,9.0,4.0,2.43,3.0
No,136.0,0,0,33.0,203.9,106.0,34.66,187.6,99.0,15.95,101.7,107.0,4.58,10.5,6.0,2.84,3.0
No,108.0,1,1,0.0,215.6,78.0,36.65,195.3,119.0,16.6,194.4,65.0,8.75,3.6,5.0,0.97,1.0
No,63.0,1,1,19.0,163.0,75.0,27.71,238.4,103.0,20.26,171.8,100.0,7.73,11.3,3.0,3.05,3.0
No,155.0,1,0,21.0,195.9,91.0,33.3,213.9,84.0,18.18,88.2,111.0,3.97,8.6,4.0,2.32,0.0
No,126.0,1,1,0.0,228.7,102.0,38.88,168.7,99.0,14.34,223.5,100.0,10.06,11.8,4.0,3.19,1.0
No,75.0,1,1,0.0,184.8,126.0,31.42,198.6,103.0,16.88,103.0,90.0,4.64,8.3,3.0,2.24,1.0
No,68.0,1,1,0.0,172.3,135.0,29.29,190.2,93.0,16.17,297.6,84.0,13.39,10.4,2.0,2.81,1.0
No,163.0,1,0,22.0,215.1,91.0,36.57,138.9,102.0,11.81,146.2,99.93292929292929,6.58,12.4,2.0,3.35,2.0
No,21.0,1,1,0.0,197.6,105.0,33.59,206.4,88.0,17.54,169.6,143.0,7.63,9.6,2.0,2.59,3.0
No,43.0,1,1,0.0,184.8,114.0,31.42,130.6,131.0,11.1,175.0,69.0,7.88,8.0,9.0,2.16,0.0
No,163.0,1,0,25.0,219.6,99.0,37.33,210.4,99.0,17.88,242.7,88.0,10.92,13.8,8.0,3.73,2.0
No,132.0,1,1,0.0,190.1,105.0,32.32,182.2,116.0,15.49,279.8,105.0,12.59,13.0,2.0,3.51,1.0
No,90.0,1,1,0.0,272.2,75.0,46.27,122.9,96.0,10.45,252.6,100.0,11.37,9.2,2.0,2.48,0.0
No,41.0,1,0,37.0,239.8,110.0,40.77,221.9,115.0,17.048292929292934,189.1,100.0,8.51,7.3,1.0,1.97,2.0
No,92.0,1,1,0.0,197.2,113.0,33.52,242.3,116.0,20.6,192.0,76.0,8.64,11.0,5.0,2.97,2.0
No,55.0,1,0,39.0,139.3,101.0,23.68,178.3,117.0,15.16,246.5,104.0,11.09,8.1,1.0,2.19,3.0
No,165.0,0,1,0.0,81.4,110.0,13.84,263.7,150.0,22.41,219.7,107.0,9.89,12.2,3.0,3.29,1.0
No,93.0,1,0,19.0,136.8,113.0,23.26,179.5,105.0,15.26,200.46569696969695,95.0,3.2,12.5,3.0,3.38,2.0
No,87.0,1,0,22.0,240.8,102.0,40.94,75.9,106.0,6.45,224.6,115.0,10.11,7.1,3.0,1.92,2.0
No,166.0,1,1,0.0,220.7,106.0,37.52,177.8,118.0,15.11,206.1,102.0,9.27,12.4,9.0,3.35,1.0
No,42.0,1,1,0.0,146.3,84.0,24.87,255.9,113.0,21.75,45.0,117.0,2.03,8.0,12.0,2.16,1.0
No,169.0,0,1,0.0,57.1,98.0,9.71,199.7,78.0,16.97,274.7,103.0,12.36,6.5,6.0,1.76,3.0
No,78.0,1,0,38.0,199.0,96.0,33.83,75.5,93.0,6.42,180.2,78.0,8.11,7.5,7.0,3.034416603951452,1.0
No,131.0,1,1,0.0,263.4,123.0,44.78,151.9,74.0,12.91,218.5,101.0,9.83,10.7,2.0,2.89,2.0
No,85.0,1,1,0.0,212.3,107.0,36.09,228.4,103.0,19.41,163.3,116.0,7.35,7.7,3.0,2.08,0.0
No,36.0,1,1,0.0,195.5,77.0,33.24,156.3,108.0,13.29,217.8,133.0,9.8,7.3,2.0,1.97,1.0
No,78.0,1,1,0.0,109.5,105.0,18.62,286.1,90.0,24.32,247.6,113.0,11.14,4.9,9.0,1.32,1.0
No,82.0,1,1,0.0,154.0,107.0,26.18,94.4,114.0,8.02,287.6,95.0,12.94,10.1,7.0,2.73,1.0
No,61.0,1,0,33.0,270.7,53.0,46.02,200.7,116.0,17.06,201.7,102.0,9.08,10.9,3.0,2.94,3.0
No,19.0,1,1,0.0,184.5,131.0,31.37,201.3,87.0,17.11,188.9,114.0,8.5,13.1,10.0,3.54,1.0
No,111.0,1,1,0.0,78.3,119.0,13.31,198.2,94.0,16.85,248.5,94.0,11.18,12.1,4.0,3.27,1.0
No,63.0,1,0,26.0,214.2,80.0,36.41,253.0,152.0,21.51,156.4,109.0,7.04,10.3,2.0,2.78,2.0
No,106.0,1,0,30.0,220.1,105.0,37.42,222.2,109.0,17.048292929292934,158.4,96.0,7.13,13.1,8.0,3.54,0.0
No,51.0,1,1,0.0,176.7,129.0,30.04,218.9,125.0,18.61,183.9,51.0,8.28,9.1,4.0,2.46,0.0
No,107.0,1,1,0.0,230.4,65.0,39.17,257.4,80.0,21.88,107.3,88.0,4.83,8.5,3.0,2.3,1.0
No,41.0,0,0,31.0,278.1,86.0,47.28,268.1,103.0,22.79,241.5,77.0,10.87,11.3,4.0,3.05,0.0
No,148.0,0,1,0.0,136.8,112.0,23.26,197.5,134.0,16.79,93.2,90.0,4.19,10.3,5.0,2.78,2.0
No,128.0,1,1,0.0,221.0,109.0,37.57,219.0,107.0,18.62,229.4,113.0,10.32,8.6,5.0,2.32,3.0
No,27.0,1,0,32.0,190.3,97.0,32.35,279.0,77.0,23.72,133.8,117.0,6.02,8.4,3.0,2.27,1.569090909090909
No,93.0,0,1,0.0,172.4,133.0,29.31,205.6,77.0,17.48,245.8,126.0,11.06,9.1,9.0,2.46,1.0
No,114.0,1,0,28.0,225.8,94.0,38.39,193.0,117.0,16.41,232.4,100.0,10.46,8.4,9.0,2.27,4.0
No,175.0,1,1,0.0,132.0,95.0,22.44,231.2,74.0,19.65,313.4,108.0,14.1,8.7,10.0,2.35,1.0
No,141.0,1,1,0.0,160.1,87.0,27.22,256.7,120.0,21.82,270.0,107.0,12.15,7.0,1.0,1.89,2.0
No,105.0,0,0,31.0,172.5,103.0,29.33,113.6,102.0,9.66,261.6,104.0,11.77,10.8,4.0,2.92,2.0
No,133.0,1,1,0.0,113.3,137.0,19.26,160.2,103.0,13.62,228.8,98.0,10.3,10.1,7.0,2.73,2.0
No,103.0,1,0,34.0,240.6,92.0,40.9,204.2,99.0,17.36,297.0,82.0,13.37,12.7,9.0,3.43,5.0
No,138.0,1,1,0.0,217.2,73.0,36.92,190.8,127.0,16.22,133.5,97.0,6.01,5.2,3.0,1.4,4.0
No,66.0,1,1,0.0,239.6,120.0,40.73,230.3,110.0,19.58,153.0,82.0,6.89,8.6,3.0,2.32,1.0
No,64.0,1,1,0.0,261.9,113.0,44.52,148.1,99.0,12.59,145.2,74.0,6.53,13.8,4.0,3.73,0.0
No,32.0,1,1,0.0,164.8,98.0,28.02,229.9,96.0,19.54,167.3,108.0,7.53,14.8,2.0,4.0,2.0
No,115.0,1,1,0.0,265.9,112.0,45.2,132.9,94.0,11.3,185.2,106.0,8.33,14.6,7.0,3.94,1.0
No,111.0,1,0,36.0,96.8,100.03878787878787,16.46,170.6,105.0,14.5,166.0,85.0,7.47,13.4,4.0,3.62,2.0
No,94.0,1,1,0.0,206.1,49.0,35.04,224.6,115.0,19.09,256.7,74.0,11.55,13.0,1.0,3.51,1.0
No,36.0,1,0,25.0,152.8,110.0,25.98,242.8,67.0,20.64,147.4,74.0,6.63,9.1,2.0,2.46,1.0
No,130.0,1,1,0.0,162.8,113.0,27.68,290.3,111.0,24.68,114.9,140.0,5.17,7.2,3.0,1.94,1.0
No,63.0,0,0,21.0,151.5,99.0,25.76,147.8,89.0,12.56,210.4,114.0,9.47,10.0,4.0,2.7,1.0
No,135.0,1,0,45.0,241.4,102.0,41.04,206.4,78.0,17.54,196.6,104.0,8.85,9.4,6.0,2.54,0.0
No,129.0,1,1,0.0,207.0,91.0,35.19,154.9,121.0,13.17,245.1,112.0,11.03,13.4,5.0,3.62,3.0
No,134.0,1,0,32.0,216.8,78.0,36.86,102.2,111.0,8.69,174.0,83.0,7.83,8.6,2.0,2.32,0.0
No,91.0,1,1,0.0,109.8,100.0,18.67,189.6,104.0,16.12,206.7,85.0,9.3,11.1,3.0,3.0,1.0
No,160.0,1,0,29.0,164.6,121.0,27.98,262.8,108.0,22.34,123.8,131.0,5.57,15.2,4.0,4.1,1.0
No,98.0,1,1,0.0,147.0,101.0,24.99,202.5,89.0,17.21,250.8,97.0,11.29,9.2,3.0,2.48,1.0
No,99.0,1,1,0.0,174.1,102.0,29.6,99.1,118.0,17.048292929292934,211.6,126.0,9.52,7.7,2.0,2.08,2.0
No,138.0,1,1,0.0,180.5,82.0,30.69,242.4,103.0,20.6,244.4,89.0,11.0,10.3,7.0,2.78,2.0
No,33.0,1,0,35.0,180.30662450726038,124.0,31.76,261.0,69.0,22.19,317.8,103.0,14.3,15.0,5.0,4.05,0.0
No,141.0,1,1,0.0,146.5,121.0,24.91,169.9,125.0,14.44,238.8,112.0,10.75,8.2,5.0,2.21,0.0
No,56.0,1,0,24.0,121.7,87.0,20.69,184.0,76.0,15.64,266.6,98.0,12.0,12.7,3.0,3.43,1.0
No,127.0,1,1,0.0,218.6,93.0,37.16,149.9,130.0,12.74,204.6,131.0,9.21,9.2,5.0,2.48,2.0
No,111.0,1,0,13.0,193.1,104.0,32.83,111.6,98.0,9.49,227.4,94.0,10.23,12.1,4.0,3.27,1.0
No,65.0,1,0,29.0,215.5,129.0,36.64,161.9,77.0,17.048292929292934,128.3,91.0,5.77,8.8,5.0,2.38,2.0
No,125.0,1,0,23.0,120.5,104.0,20.49,227.8,115.0,19.36,158.5,100.0,7.13,10.2,3.0,2.75,1.0
No,100.23829504382999,1,1,0.0,186.0,127.0,31.62,262.3,96.0,22.3,98.9,63.0,4.45,11.5,6.0,3.11,4.0
No,86.0,1,1,0.0,83.5,96.0,14.2,221.1,63.0,18.79,349.7,75.0,15.74,12.6,3.0,3.4,0.0
No,104.0,1,1,0.0,113.6,87.0,19.31,158.6,98.0,13.48,187.7,87.0,8.45,10.5,6.0,2.84,2.0
No,81.0,1,1,0.0,263.8,84.0,44.85,162.8,107.0,13.84,149.7,94.0,6.74,8.7,6.0,2.35,2.0
No,100.23829504382999,1,0,27.0,166.4,112.0,28.29,234.3,116.0,19.92,161.1,95.0,7.25,10.259010101010102,2.0,1.49,0.0
No,68.0,1,1,0.0,134.6,73.0,22.88,206.8,117.0,17.58,138.4,104.0,6.23,9.4,2.0,2.54,2.0
No,76.0,1,1,0.0,204.0,69.0,34.68,225.1,110.0,19.13,240.3,85.0,10.81,9.6,5.0,2.59,1.0
No,163.0,1,1,0.0,238.6,107.0,40.56,178.0,85.0,15.13,196.0,124.0,8.82,6.2,4.0,1.67,1.0
No,104.0,1,1,0.0,111.9,105.0,19.02,197.7,121.0,16.8,302.8,108.0,13.63,10.1,5.0,2.73,1.0
No,89.0,1,1,0.0,159.4,126.0,27.1,207.0,108.0,17.6,200.46569696969695,121.0,6.37,11.1,4.0,3.0,1.0
No,73.0,1,1,0.0,203.3,45.0,34.56,141.9,87.0,12.06,200.7,71.0,9.03,8.5,6.0,2.3,0.0
No,121.0,1,0,26.0,170.4,91.0,28.97,254.5,90.0,21.63,219.6,122.0,9.88,15.1,5.0,4.08,0.0
No,140.0,1,0,28.0,157.1,77.0,26.71,172.4,97.0,14.65,184.5,94.0,8.3,11.1,9.0,3.0,1.0
No,157.0,1,1,0.0,240.2,67.0,40.83,153.0,98.0,13.01,249.0,72.0,11.21,10.259010101010102,6.0,2.75,2.0
No,151.0,0,1,0.0,198.7,70.0,33.78,209.5,106.0,17.81,281.9,126.0,12.69,12.4,4.0,3.35,0.0
No,109.0,1,1,0.0,180.30662450726038,64.0,20.03,216.2,84.0,18.38,148.4,59.0,6.68,10.9,5.0,2.94,1.0
No,105.0,1,1,0.0,259.3,96.0,44.08,175.2,97.0,14.89,222.4,36.0,10.01,12.0,5.0,3.24,3.0
No,24.0,1,1,0.0,241.9,104.0,41.12,145.2,100.24383838383838,12.34,214.5,105.0,9.65,6.6,5.0,1.78,1.0
No,22.0,1,1,0.0,207.7,116.0,35.31,210.6,99.0,17.9,238.2,88.0,10.72,9.6,5.0,2.59,0.0
No,126.0,1,1,0.0,184.5,56.0,31.37,197.7,91.0,16.8,242.3,74.0,9.015240404040405,11.2,3.0,3.02,2.0
No,137.0,1,1,0.0,127.0,107.0,21.59,323.2,75.0,27.47,143.9,127.0,6.48,7.5,2.0,2.03,1.0
No,121.0,1,1,0.0,213.2,79.0,36.24,120.7,116.0,10.26,244.4,102.0,11.0,7.5,4.0,2.03,1.0
No,128.0,1,1,0.0,103.3,122.0,17.56,245.9,123.0,20.9,161.1,95.0,7.25,6.4,7.0,1.73,0.0
No,154.0,1,0,32.0,192.3,82.0,32.69,165.3,134.0,14.05,205.0,74.0,9.23,9.0,1.0,2.43,2.0
No,77.0,1,1,0.0,221.8,100.03878787878787,37.71,166.0,125.0,14.11,210.2,72.0,9.46,13.2,4.0,3.56,1.0
No,50.0,1,1,0.0,188.9,94.0,32.11,203.9,104.0,17.33,151.8,124.0,6.83,11.6,8.0,3.13,3.0
No,97.0,1,1,0.0,169.2,91.0,28.76,224.6,122.0,19.09,108.0,115.0,4.86,13.0,5.0,3.51,1.0
No,75.0,1,0,27.0,117.5,102.0,19.98,206.8,127.0,17.58,194.4,114.0,8.75,4.2,7.0,1.13,3.0
No,174.0,1,1,0.0,192.1,97.0,32.66,169.9,94.0,14.44,166.6,54.0,7.5,11.4,4.0,3.08,1.0
No,98.0,1,1,0.0,136.1,82.0,23.14,156.3,118.0,13.29,158.8,83.0,7.15,10.1,5.0,2.73,2.0
No,29.0,1,1,0.0,196.8,81.0,33.46,168.0,110.0,14.28,132.6,98.0,5.97,12.7,7.0,3.43,2.0
No,110.0,1,1,0.0,175.6,91.0,29.85,236.5,127.0,20.1,194.9,114.0,8.77,9.5,8.0,2.57,0.0
No,102.0,1,1,0.0,228.1,86.0,38.78,156.0,97.0,13.26,227.9,124.0,10.26,10.6,9.0,2.86,1.0
No,45.0,1,1,0.0,211.3,87.0,35.92,165.7,97.0,14.08,265.9,72.0,11.97,13.3,6.0,3.59,1.0
No,59.0,1,0,29.0,133.1,114.0,22.63,221.2,82.0,18.8,131.6,103.0,5.92,6.8,3.0,1.84,1.0
No,102.0,1,1,0.0,171.5,77.0,29.16,261.0,107.0,22.19,328.8,72.0,14.8,10.2,1.0,2.75,0.0
No,82.0,1,0,23.0,165.2,103.0,28.08,193.9,78.0,16.48,170.9,90.0,7.69,11.8,2.0,3.19,1.0
No,32.0,1,0,26.0,266.7,109.0,45.34,232.3,107.0,19.75,212.8,98.0,9.58,16.3,4.0,4.4,1.0
No,42.0,1,0,16.0,240.8,80.0,40.94,212.6,121.0,18.07,271.7,138.0,12.23,9.4,4.0,2.54,1.0
No,90.0,1,1,0.0,145.6,103.0,24.75,197.1,137.0,16.75,294.5,83.0,13.25,10.5,4.0,2.84,0.0
No,37.0,1,1,0.0,257.3,117.0,43.74,134.5,92.0,11.43,306.2,102.0,13.78,8.2,5.0,2.21,3.0
No,73.0,1,1,0.0,214.2,90.0,36.41,196.8,78.0,16.73,157.9,112.0,7.11,5.9,8.0,1.59,0.0
No,29.0,1,1,0.0,157.4,122.0,26.76,145.0,75.0,12.33,281.8,92.0,12.68,9.3,2.0,2.51,1.0
No,144.0,1,0,26.0,177.1,94.0,30.11,206.0,85.0,17.51,254.8,95.0,11.47,6.6,2.0,1.78,2.0
No,112.0,1,1,0.0,206.2,122.0,35.05,164.5,94.0,13.98,140.3,101.0,6.31,12.6,7.0,3.4,3.0
No,97.0,1,0,28.0,202.3,97.0,34.39,69.2,84.0,5.88,257.6,64.0,11.59,6.7,3.0,1.81,1.0
No,112.0,1,0,16.0,221.6,110.0,37.67,130.2,123.0,11.07,200.0,108.0,9.0,11.3,3.0,3.05,1.0
No,156.0,1,0,27.0,192.3,137.0,32.69,199.9,115.0,16.99,244.2,112.0,10.99,14.8,8.0,4.0,1.0
No,63.0,1,1,0.0,120.1,103.0,20.42,179.2,132.0,15.23,127.3,82.0,5.73,6.3,4.0,1.7,1.0
No,68.0,1,0,30.0,122.9,93.0,20.89,233.5,100.24383838383838,19.85,199.5,144.0,8.98,9.6,2.0,2.59,2.0
No,120.0,1,1,0.0,165.0,100.0,28.05,317.2,83.0,26.96,119.2,86.0,5.36,8.3,8.0,2.24,1.0
No,58.0,1,1,0.0,177.4,107.0,30.16,204.7,104.0,17.4,141.9,123.0,6.39,15.0,9.0,4.05,3.0
No,130.0,1,1,0.0,211.4,91.0,35.94,191.0,62.0,16.24,207.3,109.0,9.33,11.6,3.0,3.13,1.0
No,139.0,1,0,25.0,138.3,96.0,23.51,80.6,79.0,6.85,163.7,83.0,7.37,8.3,8.0,2.24,0.0
No,85.0,0,1,0.0,216.0,73.0,30.62938639792639,188.2,117.0,16.0,147.1,98.0,6.62,3.6,7.0,0.97,2.0
No,99.0,1,0,21.0,180.2,97.0,30.63,167.7,47.0,14.25,203.1,84.0,9.14,14.6,5.0,3.94,2.0
No,95.0,1,0,35.0,229.1,143.0,38.95,148.2,104.0,12.6,248.4,110.0,11.18,3.9,3.0,1.05,0.0
No,21.0,1,1,0.0,225.0,110.0,38.25,244.2,111.0,20.76,221.2,93.0,9.95,10.7,4.0,2.89,0.0
No,70.0,1,1,0.0,156.4,108.0,26.59,171.0,116.0,14.54,196.1,96.0,8.82,8.6,4.0,3.042252231604829,2.0
No,36.0,1,1,7.763636363636364,202.4,115.0,34.41,230.7,115.0,19.61,202.0,127.0,9.09,10.2,2.0,2.75,3.0
No,84.0,1,1,0.0,75.3,96.0,12.8,179.9,113.0,15.29,193.8,134.0,8.72,12.3,1.0,3.32,1.0
No,151.0,1,1,0.0,170.2,89.0,28.93,187.5,83.0,15.94,119.5,100.0,5.38,4.3,3.0,1.16,0.0
No,123.0,1,1,0.0,159.1,94.0,27.05,241.6,119.0,20.54,202.4,120.0,9.11,6.5,1.0,1.76,1.0
No,105.0,1,1,0.0,166.1,93.0,28.24,175.9,106.0,14.95,243.5,55.0,10.96,16.2,3.0,4.37,2.0
No,60.0,1,1,0.0,220.6,57.0,37.5,211.1,115.0,17.94,249.0,129.0,11.21,6.8,3.0,1.84,1.0
No,118.0,1,1,0.0,140.4,112.0,23.87,187.1,60.0,15.9,207.9,155.0,9.36,7.9,1.0,2.13,0.0
No,125.0,1,1,0.0,126.7,108.0,21.54,206.0,90.0,17.51,247.8,114.0,11.15,13.3,7.0,3.59,1.0
No,22.0,1,0,29.0,151.2,147.0,25.7,203.2,135.0,17.27,296.1,98.0,13.32,11.1,2.0,3.0,2.0
No,37.0,1,1,0.0,206.0,89.0,35.02,186.0,88.0,15.81,307.1,86.0,13.82,8.4,11.0,2.950713606017924,0.0
No,114.0,1,1,0.0,206.3,113.0,35.07,223.5,97.0,19.0,234.3,119.0,10.54,8.1,6.0,2.19,2.0
No,135.0,1,1,0.0,246.8,129.0,41.96,187.8,121.0,15.96,154.5,109.0,6.95,12.6,5.0,3.4,1.0
No,94.0,1,1,0.0,245.0,112.0,41.65,180.4,91.0,15.33,262.9,105.0,11.83,9.7,6.0,2.772088170957108,1.0
No,82.0,1,1,0.0,120.5,107.0,20.49,176.3,124.0,14.99,258.0,121.0,11.61,10.5,5.0,2.84,0.0
No,120.0,1,1,0.0,174.1,108.0,29.6,209.6,96.0,17.82,200.46569696969695,99.0,12.04,11.6,2.0,3.13,0.0
No,146.0,0,1,0.0,160.1,63.0,27.22,208.4,112.0,17.71,177.6,98.0,7.99,9.2,3.0,2.48,2.0
No,48.0,1,0,27.0,141.1,109.0,23.99,224.7,94.0,19.1,174.3,122.0,7.84,13.2,2.0,3.56,1.0
No,68.0,1,1,0.0,219.6,97.0,37.33,141.1,144.0,11.99,205.7,101.0,9.26,10.8,4.0,2.92,2.0
No,93.0,1,1,0.0,176.1,103.0,29.94,199.7,130.0,16.97,263.9,96.0,11.88,8.5,6.0,2.3,2.0
No,106.0,1,1,0.0,169.4,107.0,28.8,197.2,71.0,16.76,202.2,79.0,9.1,10.7,4.0,1.7031575316961496,1.0
No,96.0,1,1,0.0,179.5,125.0,30.52,162.3,139.0,13.8,264.5,133.0,11.9,6.6,4.432525252525252,1.78,1.0
No,57.0,1,1,0.0,198.1,89.0,33.68,214.2,105.0,18.21,109.5,106.0,4.93,7.0,3.0,1.89,1.0
No,110.0,1,1,0.0,100.1,90.0,17.02,233.3,93.0,19.83,204.4,57.0,9.2,11.1,8.0,3.0,3.0
No,133.0,1,1,0.0,221.1,133.0,37.59,160.2,140.0,13.62,161.8,84.0,7.28,8.4,3.0,2.27,4.0
No,35.0,1,1,0.0,105.6,129.0,17.95,258.2,129.0,21.95,213.1,77.0,9.59,8.7,3.0,2.35,0.0
No,107.0,1,0,14.0,114.3,132.0,19.43,199.8,91.0,16.98,194.7,74.0,8.76,7.5,8.0,2.03,1.0
No,87.0,1,0,28.0,143.5,106.0,24.4,223.5,147.0,19.0,175.4,69.0,7.89,11.2,5.0,3.02,0.0
No,45.0,1,1,0.0,112.8,108.0,19.18,218.8,120.0,18.6,240.2,106.0,10.81,9.0,3.0,2.43,2.0
No,173.0,1,1,0.0,82.1,75.0,13.96,201.2,95.0,17.1,206.7,146.0,9.3,9.6,2.0,2.59,1.0
No,169.0,1,1,0.0,192.8,98.0,32.78,273.2,125.0,23.22,266.3,102.0,11.98,11.4,6.0,2.772088170957108,2.0
No,126.6312959968346,1,0,30.0,177.3,95.0,30.14,211.8,102.0,18.0,240.2,108.0,10.81,9.3,7.0,2.51,3.0
No,52.0,1,1,0.0,180.30662450726038,68.0,36.5,158.6,138.0,17.048292929292934,123.4,114.0,5.55,9.4,4.0,2.54,2.0
No,115.0,1,1,0.0,166.5,111.0,28.31,236.2,98.0,20.08,205.6,92.0,9.25,15.6,2.0,4.21,1.0
No,21.0,1,0,19.0,132.7,94.0,22.56,204.6,101.0,17.39,154.7,78.0,6.96,12.9,7.0,3.48,3.0
No,135.0,1,1,0.0,218.8,123.0,37.2,242.8,64.0,20.64,85.8,80.0,3.86,10.3,3.0,2.78,4.0
No,16.0,1,1,0.0,228.3,80.0,38.81,200.67979797979797,75.0,11.13,156.7,98.0,7.05,8.4,9.0,2.27,1.0
No,61.0,1,1,0.0,234.2,76.0,39.81,216.7,108.0,18.42,130.6,122.0,5.88,13.9,2.0,3.75,1.0
No,118.0,1,1,0.0,77.6,113.0,13.19,126.9,75.0,10.79,191.0,79.0,8.59,14.9,4.0,2.772088170957108,1.0
No,64.0,1,0,31.0,281.9,121.0,47.92,240.6,104.0,20.45,212.2,120.0,9.55,7.0,5.0,1.89,3.0
No,78.0,0,0,20.0,252.8,102.0,42.98,217.6,105.0,18.5,107.3,93.0,4.83,11.2,3.0,3.02,0.0
No,122.0,1,1,0.0,184.6,88.0,31.38,148.8,98.0,12.65,309.7,58.0,13.94,14.3,2.0,3.86,3.0
